,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
160,160,cf1314,Lu8 H8 N1,-0.6144655052553657,14.099510435867018,-3.465710152368276,57.85302698583735,2.236146248056294,-4.117677147582036,1.0,8.0
161,161,cf382,Lu8 H5 N5,-1.1955150519117723,13.39965337952597,-5.369166064918474,103.43520481728704,5.567972043951761,-7.810593359854685,5.0,5.0
162,162,cf712,Lu8 N7 H7,-1.076783067364886,11.340426804389285,-5.959857286519806,103.92700137208892,5.269076420215136,-9.264040167546584,7.0,7.0
163,163,cf520,Lu8 H17 N6,-0.6065785718932485,9.468364320039507,-4.466716325121783,49.7520720551254,13.595939038822038,-5.53157952921376,6.0,17.0
164,164,cf144,Lu8 H17 N3,-0.7245358434302034,9.614276040279004,-4.231482888292425,79.42987257085338,2.663724989600247,-8.297316064185464,3.0,17.0
165,165,cf978,Lu8 H15 N4,-0.820635429461685,10.60830533450208,-3.8072502210534735,76.94803176011915,3.781390096943135,-7.302591457307527,4.0,15.0
166,166,cf376,Lu8 H11 N5,-0.9612007785399328,10.624965494989272,-5.105399088344061,94.81627836393608,3.203561702063788,-8.972333346151268,5.0,11.0
167,167,cf940,Lu8 N4 H6,-1.0683504705278513,12.421850070697742,-5.893983262635591,87.9564642040664,10.674174142722665,-7.324148320920325,4.0,6.0
168,168,cf371,Lu8 H6 N4,-1.060898036819708,12.991854324206578,-5.323979009126756,88.61219644960995,3.123049052328276,-6.856418034341339,4.0,6.0
169,169,cf143,Lu8 H11 N3,-0.8371607939982575,10.954419981588908,-4.863364109320185,65.82724780380535,9.231324220297983,-6.170144022324966,3.0,11.0
170,170,cf527,Lu8 H12 N7,-0.7202047582977684,10.482389726089382,-4.839138051688394,61.538559416363306,8.814422878770104,-6.016087748794007,7.0,12.0
171,171,cf715,Lu8 H8 N8,-0.9593766915101392,11.86352700632826,-4.8860563270050745,80.99460398537335,0.087675693116698,-6.832779212435671,8.0,8.0
